Reason,State,Total,    Age 18 - 24,    Age 25 - 39,    Age 40 - 54,    Age 55 - 64,    Age 65 and above,    Male,    Female,    Hispanic or Latino (may be of any race),"    White alone, not Hispanic","    Black alone, not Hispanic","    Asian alone, not Hispanic","    Two or more races + Other races, not Hispanic",    Less than high school,    High school or GED,    Some college/associate’s degree,    Bachelor’s degree or higher,    Married,    Widowed,    Divorced/separated,    Never married,No Marriage Status,    1 person in the household,    2 people in the household,    3 people in the household,    4 people in the household,    5 people in the household,    6 people in the household,    7 or more people in the household,    Children in household,    No children,    Received loss of employment income,    Did not receive loss of employment income,    Did not report loss of employment income,Employed,Unemployed,    Did not report employment status,"    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above",    Did not report HH income,    Regular income sources like those received before the pandemic,    Credit cards or loans,    Money from savings or selling assets or possessions,    Borrowing from friends or family,    Unemployment insurance (UI) benefit payments,    Stimulus (economic impact) payment,    Money saved from deferred or forgiven payments (to meet spending needs),    Supplemental Nutrition Assistance Program (SNAP),    Other,    Did not report money lending in past 7 days,    Serving on active duty,    Serving in Reserve or National Guard,    Spouse serving on active duty,    Spouse serving in Reserve or National Guard,    No active duty service (self or spouse),    Did not report Military status,    No difficulty seeing,    Some difficulty seeing,    A lot of difficulty seeing,Blind,    Did not report difficulty seeing,    No difficulty hearing,    Some difficulty hearing,    A lot of difficulty hearing,Deaf,    Did not report difficulty hearing,    No difficulty remembering/concetrating,    Some difficulty remembering/concetrating,    A lot of difficulty remembering/concetrating,    Cannot do at all remembering/concetrating,    Did not report difficulty remembering/concetrating,    No difficulty walking,    Some difficulty walking,    A lot of difficulty walking,    Cannot walk at all,    Did not report difficulty walking,Previously infected,Not previously infected,    Unsure C-19 diagnosis,    Did not report a C-19 diagnosis
Don’t trust COVID-19 vaccines,AR,229565,21968,84272,64908,34296,24121,92098,137468,-,198292,11855,-,19418,21147,115527,77448,15443,155792,17114,36422,20238,-,13458,80966,43670,53094,19985,12407,5985,127639,101926,42176,187389,-,162553,67013,-,36149,28875,10974,23134,7476,6117,3464,20329,93049,150342,35584,29362,19066,14195,89387,1378,23271,6875,41926,-,-,-,-,229565,-,94854,30475,17961,-,86277,127617,15672,-,-,86277,90054,41550,11685,-,86277,124664,17689,-,936,86277,38252,186367,4946,-
Don’t trust the government,AR,139125,-,40526,53021,31193,14385,62651,76474,485,99400,15338,-,23902,17560,72551,37426,11588,103723,-,20700,13695,1006,7917,45320,50572,35315,-,-,-,58842,80283,23293,115832,-,97943,41182,-,10154,7413,10514,13399,3637,2620,3464,20329,67594,103487,20890,6899,10141,4427,37567,-,12638,2448,24705,-,-,-,-,139125,-,50943,17864,7636,-,62683,63063,13379,-,-,62683,56066,13455,6921,-,62683,61318,14188,-,936,62683,34002,102469,2654,-
Other,AR,85182,-,40345,21217,12884,10736,50242,34940,1729,73407,5788,1362,2896,3858,46770,25029,9525,50449,7449,12864,14420,-,21409,17955,18387,21697,-,1512,4222,41081,44101,33272,51911,-,53910,31272,-,3858,2345,9211,31677,4537,1041,-,2403,30111,52761,11372,16750,11352,7130,16347,1362,-,-,9883,4537,4222,-,-,76423,-,36911,15824,5197,1362,25888,48305,5405,4222,1362,25888,30982,27271,1041,-,25888,41100,13972,4222,-,25888,7003,73957,4222,-
Did not report,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total,CA,6145552,489290,2689871,1459159,695589,811643,3092072,3053480,2673011,1946628,317998,737281,470635,1588517,1505087,1906729,1145218,2538874,240053,1005130,2353831,7664,315935,1269605,1224999,1046349,698434,508803,1081426,3023594,3121958,2241895,3903657,-,3256520,2885407,3624,638663,557679,374051,703589,340854,456463,191697,140908,2741649,2873263,1514286,1707307,866743,654939,2175127,293667,729003,315168,1470905,174538,155681,154559,158316,6086215,28705,2813007,818597,53707,13069,2447172,3216478,380748,81282,18029,2449016,2456600,1002539,219321,-,2467092,2997162,457058,248730,1596,2441006,1395466,4674469,75617,-
Concerned about possible side effects,CA,2978881,231536,1403559,728644,167493,447649,1300900,1677981,1265734,1027844,216219,248010,221074,766566,620951,1032663,558702,1272016,168952,395902,1142010,-,101548,720994,534142,483848,397705,211403,529242,1742020,1236861,1133774,1845107,-,1746563,1228694,3624,316636,279504,191029,366043,215821,161412,94445,34367,1319624,1642015,871267,1133971,534318,426007,1301079,214909,546350,227290,532028,174538,154167,154559,153116,2953638,1326,1397130,348401,19947,3856,1209547,1502660,196939,59494,3564,1216224,1002789,676028,76673,-,1223391,1339527,230780,197431,1596,1209547,677732,2232345,68804,-
Don’t know if a vaccine will work,CA,1727972,124186,966924,198970,98532,339359,1006490,721482,779670,612472,54295,254643,26892,574344,570368,316623,266637,610419,144382,118848,854324,-,65644,474823,394854,170941,91848,102219,427643,892216,835756,947813,780159,-,1216526,511446,-,100634,56510,100953,165109,116402,123264,84169,11074,969857,893543,558418,967474,492172,218683,982358,190080,349414,184717,290728,153116,153116,153116,153116,1727972,-,739263,195675,782,-,792252,752614,153321,27050,1867,793120,663219,253111,19390,-,792252,698503,87324,149893,-,792252,319101,1408871,-,-
Don’t believe I need a vaccine,CA,1304277,180516,511636,168635,265376,178114,569044,735233,586415,379209,69999,186031,82624,334113,210266,498717,261181,499697,3031,319012,482537,-,25086,164628,155330,208553,55549,93002,602128,946392,357885,360037,944240,-,918755,385522,-,159922,24804,75688,69964,131375,128681,90374,18216,605254,845813,551725,341850,253562,203231,379833,191553,211065,185361,222909,153116,153116,153116,158316,1299077,-,653966,79121,4910,7820,558460,734111,9116,1722,-,559328,664789,68375,12653,-,558460,665627,72543,6051,1596,558460,412414,889987,1877,-
Don’t like vaccines,CA,776145,132154,230376,71678,52907,289030,251129,525016,304754,199383,23239,200231,48537,284101,65655,213372,213017,315718,132979,33425,294022,-,10081,173708,62546,119951,74312,20144,315403,616716,159429,315943,460202,-,435552,340593,-,32728,22549,8769,157102,113038,62227,28250,3842,347640,463689,348829,433283,312242,187777,416561,186068,311071,183424,130258,153116,153116,153116,153116,776145,-,432992,28111,2152,-,312890,325279,135294,2682,-,312890,290080,170493,2682,-,312890,272927,52352,137976,-,312890,220787,555358,-,-
Doctor has not recommended it,CA,373250,48465,82434,67357,16980,158014,75629,297621,244418,62483,24311,42038,-,156314,62075,79785,75075,120577,1074,44312,207287,-,10018,17000,13172,56321,67917,8758,200063,279644,93606,209013,164236,-,231531,141719,-,26628,21865,12509,13190,10456,2152,-,7143,279307,216704,212408,193638,185669,174324,179822,158335,159936,184643,75953,153116,153116,153116,153116,373250,-,108041,14755,2231,-,248224,99040,13208,12778,-,248224,90002,33580,1444,-,248224,109317,13552,2157,-,248224,186431,150899,35920,-
Plan to wait and see if it is safe,CA,3070013,212376,1632644,637138,198107,389749,1520954,1549060,1531461,897514,176660,303737,160641,753439,726657,1033917,556000,1244522,193630,268384,1362610,868,174289,618487,759950,469648,315150,244712,487777,1628519,1441494,1180793,1889221,-,1957537,1108852,3624,232158,274249,219087,443217,109510,284630,88886,64883,1353395,1588124,915009,1209748,587532,467310,1426873,259082,538842,174990,536870,153116,154167,153116,153116,3060322,8641,1468957,424806,12454,526,1163270,1594731,289195,14272,1867,1169948,1185439,631355,76105,-,1177115,1563573,168636,174534,-,1163270,602305,2451215,16494,-
Other people need it more right now,CA,1185373,245522,497597,178497,67771,195987,654706,530667,805078,250200,45509,73083,11503,216036,192836,484603,291898,595848,1654,39946,547925,-,41085,131191,214701,163999,156492,137651,340254,731349,454024,351783,833590,-,913905,267843,3624,42661,17181,105254,154619,32855,167690,45632,32827,586655,625810,417281,423584,193780,191215,556919,209850,175574,170314,296588,161983,153116,153116,153116,1158866,17640,500991,102455,-,-,581928,555448,35220,12778,-,581928,466857,116682,19906,-,581928,530921,61179,11345,-,581928,312726,872647,-,-
Concerned about the cost,CA,306641,-,103609,33156,16760,153116,41470,265170,240726,42793,15525,7597,-,178149,54361,56903,17227,81784,-,28931,195926,-,2024,12911,5860,32250,88892,-,164704,250751,55890,201782,104859,-,251059,55581,-,39765,16369,7667,11588,-,33679,-,2554,195017,201059,249489,227699,178914,159097,175072,186981,172517,153116,35920,153116,153116,153116,153116,306641,-,86086,25537,-,-,195017,73386,1615,36622,-,195017,60066,36260,11588,-,198726,90833,19408,1382,-,195017,195360,75361,35920,-
Don’t trust COVID-19 vaccines,CA,1361792,149462,428983,286220,115146,381982,512772,849020,589215,446854,51289,201320,73114,356480,293348,386119,325844,593585,146267,226802,395138,-,84784,344676,229868,140931,163276,64398,333858,905954,455837,494821,866971,-,764862,596930,-,95462,74693,73248,218823,168910,67809,89115,21005,552728,748577,439844,559532,357853,228852,619258,168495,354728,223180,253312,161983,153116,153116,153116,1351790,1134,684891,172557,1278,-,503066,697172,158002,2684,-,503934,520208,299064,25609,-,516910,588595,110304,158231,1596,503066,337964,1020166,3662,-
Don’t trust the government,CA,1154981,148663,449187,233015,107183,216933,556722,598259,440910,460769,114546,57137,81619,171709,178151,437211,367909,479671,10177,167847,494660,2626,50929,237241,285704,138392,131360,35243,276111,608120,546861,440833,714148,-,714987,439994,-,90709,55990,46736,121547,140849,57540,72382,11653,557576,656985,410163,390731,251299,221573,411894,188516,209421,216926,230534,161983,153116,153116,153116,1146114,-,501218,164616,1278,-,487868,617485,37907,17018,-,482571,449272,181859,32273,-,491577,605716,52720,13246,1596,481703,243599,907522,3860,-
Other,CA,1240057,54070,375335,217088,184155,409408,660617,579440,308844,520972,17892,109323,283026,466353,104044,399273,270387,375638,11474,324583,524190,4171,66788,307838,176100,190292,53378,55685,389974,430692,809364,629497,610560,-,612845,627212,-,49615,129533,78310,89633,135435,87767,71660,42904,555200,712504,369494,380321,174198,194689,302371,162164,198274,182197,289575,165671,154629,153116,153116,1225987,-,553441,149805,21488,2621,512701,656735,47047,7777,14465,514033,494104,151622,75553,-,518777,547663,127284,52408,-,512701,440959,793965,5133,-
Did not report,CA,140407,52539,5279,38804,40757,3029,105499,34907,61779,5601,11637,59917,1473,46080,42387,12848,39092,54688,2276,28785,54658,-,1805,26929,21327,80178,10168,-,-,72640,67766,26670,113736,-,63808,76598,-,7777,3829,19181,16700,319,471,3527,1473,87128,50310,7046,6687,7777,13830,17426,-,3709,319,83516,-,-,-,-,139116,1290,46960,4788,3709,-,84950,53181,2276,-,-,84950,43835,11622,-,-,84950,38542,15346,1569,-,84950,18150,122256,-,-
Total,CO,886650,104248,235951,316670,151244,78538,453547,433103,210586,605031,25997,3225,41810,52080,294666,329327,210578,486453,20051,128058,249217,2871,39232,248769,159870,124046,172344,84904,57484,385789,500861,248162,627325,11163,580568,303903,2179,68349,39873,69745,146979,133799,83840,48387,39322,256355,534425,232081,264417,96768,52938,247559,44721,54460,20173,147780,25895,4310,-,2496,847856,6093,454593,189722,20951,902,220481,552147,96512,10510,5013,222469,393519,196417,75331,902,220481,569425,82196,8907,5641,220481,193518,681492,11640,-
Concerned about possible side effects,CO,406496,56084,103271,131727,66672,48741,203318,203177,33167,346014,5075,881,21357,-,137112,174416,94968,250455,9342,57279,88727,692,14381,139183,79009,61203,61499,12731,38490,189409,217087,76446,330050,-,305118,101378,-,36943,10773,34833,78646,35913,51286,19424,15438,123240,255209,132518,88009,37256,37066,108097,37744,34348,2587,71234,21981,-,-,-,380601,3913,230174,71466,11980,-,92876,239146,67177,1199,4111,94863,186762,101831,25027,-,92876,248738,53896,6247,4738,92876,55444,347068,3983,-
Don’t know if a vaccine will work,CO,133081,4505,28812,60857,17639,21268,69190,63892,7186,116393,-,881,8620,-,34920,53081,45081,100152,5746,9910,16581,692,6178,41531,22162,20472,17374,2587,22777,68238,64843,27828,105254,-,104636,28445,-,463,2876,13129,14559,17965,10522,12709,7289,53570,78245,50877,36722,2628,5431,29150,6411,6373,6607,38360,-,-,-,-,129168,3913,43931,36084,-,-,53066,60320,17016,692,-,55053,34189,38340,7487,-,53066,56991,16902,1384,4738,53066,22448,106613,4020,-
Don’t believe I need a vaccine,CO,217168,53941,52394,60829,26699,23306,144166,73002,40255,159962,-,-,16951,35439,38097,90393,53239,113266,-,33275,68448,2179,9530,58477,40630,29101,10513,54682,14235,118806,98362,84145,130844,2179,125930,89059,2179,14824,14400,7474,16873,60673,12221,3992,21760,64950,145906,37008,67679,45314,7854,59368,10059,10497,9341,38547,3913,-,-,-,207162,6093,116117,47053,-,902,53095,154670,6513,-,902,55082,104471,22028,36672,902,53095,153179,9992,-,902,53095,55049,158100,4020,-
Don’t like vaccines,CO,94697,10572,15949,47823,5439,14915,53208,41488,28002,60255,-,-,6440,-,31070,36625,27002,33232,8078,25007,28379,-,3813,26681,29730,12166,5912,8112,8284,40669,54028,37198,57499,-,73618,21078,-,7916,654,4738,23589,12323,3161,1010,3089,38216,73710,29040,44495,14905,7820,23199,6969,8633,6607,11609,-,-,-,-,93970,726,32355,30804,1691,902,28945,49246,12330,1286,902,30932,43546,12707,8597,902,28945,53461,4079,2572,5641,28945,4115,86562,4020,-
Doctor has not recommended it,CO,45049,17329,2157,11732,7323,6507,21664,23385,3637,41412,-,-,-,-,10152,22529,12368,16216,3637,5018,19487,692,3847,11269,11263,2875,3460,-,12335,17852,27197,11673,33376,-,26058,18991,-,3053,-,-,9813,1008,1863,2002,6758,20553,32371,9753,8213,6759,692,11123,6618,5959,-,9981,-,3637,-,-,40686,726,27246,1863,1454,-,14486,28859,1013,692,-,14486,17512,4839,8212,-,14486,28119,2444,-,-,14486,11845,29567,3637,-
Plan to wait and see if it is safe,CO,320190,48969,101424,103474,46096,20227,124529,195661,44354,254764,7498,286,13287,2422,112719,116890,88159,184495,2271,42884,89846,692,16615,97313,59242,50925,48210,28512,19374,140798,179391,60438,257256,2496,229743,90446,-,21189,26374,31978,46152,31306,37994,18256,25068,81873,204813,113818,78140,29226,28522,119125,30964,24691,2587,45861,21981,-,-,2496,295712,-,207263,42917,7669,-,62342,222765,33883,1199,-,62342,148379,96201,13267,-,62342,207373,46799,3676,-,62342,55381,260825,3983,-
Other people need it more right now,CO,183304,28739,66938,67424,15935,4268,120616,62688,44831,128079,3983,-,6411,-,76209,51874,55221,83680,-,26814,72810,-,1921,53514,25087,25177,64930,12676,-,63715,119590,36055,147249,-,149371,33933,-,4711,14289,16196,26821,11309,17656,3908,15870,72544,131391,89895,56648,7169,11998,100758,28392,3765,-,24059,21981,-,-,-,161323,-,102706,18262,6711,-,55626,104761,20190,2727,-,55626,81310,35797,10571,-,55626,97996,29682,-,-,55626,50394,128927,3983,-
Concerned about the cost,CO,54872,15634,-,31008,6561,1670,40426,14446,34330,20542,-,-,-,-,34330,19089,1453,3586,-,4416,46178,692,1322,19220,-,-,34330,-,-,4416,50456,17779,37093,-,52047,2825,-,10030,-,4416,2992,-,-,1453,-,35981,44613,38590,38126,16326,692,36445,6067,9567,-,-,-,-,-,-,54872,-,15390,9567,-,-,29915,14698,9567,692,-,29915,14927,10030,-,-,29915,24494,463,-,-,29915,29915,24957,-,-
Don’t trust COVID-19 vaccines,CO,211882,13273,41041,96881,30330,30357,108163,103719,27767,168482,-,595,15038,5525,63068,83098,60192,144198,5726,25159,36107,692,12785,71048,38628,19449,42844,11632,15495,78919,132964,56447,155436,-,147062,64820,-,14591,6005,16395,39403,28224,30962,7691,12756,55854,135268,46290,60760,8238,21484,49821,10254,16370,8900,22356,3913,-,-,-,204055,3913,109454,50315,4226,902,46984,123217,37592,1199,902,48971,127192,23160,13644,902,46984,148890,8476,1891,5641,46984,10680,197182,4020,-
Don’t trust the government,CO,220941,8768,51214,95332,44955,20672,126706,94235,57930,150005,-,-,13006,5525,82008,86917,46492,131658,1008,20955,66628,692,13168,77649,26068,15522,62538,5525,20472,57670,163270,48293,172648,-,135498,85443,-,13430,15057,5810,37155,28508,6988,23208,10995,79790,144349,83625,85794,12865,9965,70239,1453,7909,6313,30072,9980,-,-,-,207047,3913,102847,43190,-,902,74002,133485,9873,692,902,75989,89754,34139,22144,902,74002,121732,20348,3956,902,74002,54396,162525,4020,-
Other,CO,227296,6697,66464,84781,56687,12669,116034,111263,85835,98189,22483,1153,19636,8832,84458,80512,53494,132893,6592,22750,65061,-,12683,47691,26731,55122,62045,3978,19046,98426,128871,25134,196866,5297,147129,80168,-,7222,9001,16431,43014,17712,5469,12857,10893,104697,150881,54403,56400,10613,6982,53004,4406,4161,12560,48447,-,-,-,-,223383,3913,105998,18330,5674,902,96392,112541,8891,6583,902,98379,71167,55681,3154,902,96392,112460,16553,990,902,96392,70954,148339,8003,-
Did not report,CO,19963,9100,1391,7802,-,1670,11443,8519,5387,13386,-,1190,-,5387,-,10770,3806,10863,-,-,9100,-,-,1670,10324,-,7968,-,-,9193,10770,-,18772,1190,2065,17898,-,-,-,-,1670,-,-,-,674,17619,4286,1670,-,-,-,-,-,-,-,15677,-,674,-,-,19289,-,3735,-,-,-,16228,3735,-,-,-,16228,2065,1670,-,-,16228,2065,-,1670,-,16228,5387,14576,-,-
Total,CT,403060,31826,135475,146782,54439,34540,193041,210019,97064,197378,52720,14245,41654,50915,144799,140883,66464,149863,24886,78438,149873,-,22928,109912,93973,85066,28740,18905,43537,233732,169328,108980,294080,-,222314,180746,-,38131,27117,24450,35066,58254,18011,5288,16702,180042,185150,85333,56489,86463,49106,127693,15616,47814,7551,79154,14868,-,-,-,397622,2719,168391,73663,1384,12149,147474,200673,37979,457,16478,147474,162287,57493,22657,13150,147474,182206,55372,12546,12149,140787,102866,286949,13246,-
Concerned about possible side effects,CT,169748,16119,66373,51484,18414,17357,71624,98124,42437,90428,19143,6686,11053,11371,57201,72598,28579,65604,2803,28550,72790,-,16681,48128,62359,13328,22611,5890,751,77450,92298,35476,134272,-,94058,75689,-,12724,8511,18095,3603,38264,7405,1921,10120,69104,85503,37675,24073,23146,19972,45570,2755,17206,4108,32254,2719,-,-,-,164310,2719,76848,30727,768,-,61405,87142,16871,-,4330,61405,68880,25616,13847,-,61405,89994,12290,6059,-,61405,47815,113145,8789,-
Don’t know if a vaccine will work,CT,90975,6918,33559,27032,8328,15139,32024,58952,33890,33486,5516,-,18083,4457,41141,37396,7981,40097,1380,26892,22606,-,2160,21933,21756,14542,13923,7844,8817,52863,38113,26412,64564,-,30033,60942,-,13678,2717,5761,10978,12422,6074,768,-,38577,53364,12297,13352,15400,16288,38986,-,9163,2494,13239,2719,-,-,-,88256,-,25667,28723,768,-,35817,36285,18873,-,-,35817,31131,18281,5746,-,35817,45502,2218,7439,-,35817,18254,68264,4457,-
Don’t believe I need a vaccine,CT,60799,13463,31549,6961,7852,974,37529,23270,11098,37429,880,-,11392,8020,25389,17085,10304,22811,-,2681,35307,-,8302,11535,29487,1153,-,6731,3591,25644,35154,8023,52776,-,39678,21121,-,6065,9156,1153,-,12051,557,-,11504,20313,39362,2032,-,6686,5441,12776,464,3444,4108,9479,-,-,-,-,60799,-,40820,2470,-,-,17509,39960,2873,457,-,17509,34923,517,7850,-,17509,44885,2218,2873,-,10822,18680,42118,-,-
Don’t like vaccines,CT,31590,-,10120,5295,15658,517,19523,12067,10109,17159,1576,-,2746,4859,17423,4608,4699,19000,-,4182,8408,-,464,12854,2760,1576,1501,-,12435,21018,10572,6486,25104,-,17159,14431,-,7594,-,1576,13936,-,-,-,-,8484,3541,-,-,4859,5441,18272,464,2093,517,5261,-,-,-,-,31590,-,13431,12435,-,-,5724,24365,1501,-,-,5724,20372,517,4977,-,5724,11213,14653,-,-,5724,1576,30014,-,-
Doctor has not recommended it,CT,28072,4548,12258,4512,4652,2102,-,28072,12056,9537,2291,-,4189,-,11770,10273,6029,2294,2102,2218,21458,-,2934,10904,13082,1153,-,-,-,4586,23487,7559,20513,-,19412,8661,-,7508,4677,1153,2102,464,1142,-,-,11028,16376,6842,5689,5290,2218,10980,-,7760,-,4189,-,-,-,-,28072,-,12969,4075,-,-,11028,17045,-,-,-,11028,5725,9102,2218,-,11028,9073,2681,5290,-,11028,8865,17105,2102,-
Plan to wait and see if it is safe,CT,161852,22724,64339,51202,10464,13123,66851,95001,46386,84913,18959,4189,7406,11416,50680,75911,23846,54121,-,32270,75461,-,10477,48648,28833,35010,18184,8292,12408,90597,71255,53513,108339,-,105632,56220,-,7348,9952,15674,10978,18912,8959,1910,4772,83347,83432,39733,18223,20729,15607,35478,-,17589,-,43790,2719,-,-,-,156414,2719,57702,42009,768,-,61372,76319,24160,-,-,61372,68965,21369,9145,1001,61372,99711,-,768,-,61372,39572,122280,-,-
Other people need it more right now,CT,53980,11279,30479,11522,-,701,25267,28713,16460,27255,2291,6686,1287,-,16650,29502,7828,8638,-,5225,40117,-,3951,16471,14737,1813,6686,6731,3591,27652,26328,14627,39353,-,33632,20348,-,1156,3735,4885,660,8089,1377,-,3591,30487,36551,11895,8999,2421,1265,8280,-,4516,-,11976,-,-,-,-,53980,-,21031,14133,-,-,18816,33899,1265,-,-,18816,27266,4149,3750,-,18816,35165,-,-,-,18816,16359,30935,6686,-
Concerned about the cost,CT,5882,-,-,5882,-,-,3591,2291,-,3591,2291,-,-,2291,3591,-,-,-,-,2291,3591,-,3591,-,2291,-,-,-,-,2291,3591,-,5882,-,5882,-,-,2291,-,-,-,3591,-,-,-,-,-,-,-,-,-,-,-,-,3591,2291,-,-,-,-,5882,-,3591,2291,-,-,-,5882,-,-,-,-,3591,2291,-,-,-,5882,-,-,-,-,-,5882,-,-
Don’t trust COVID-19 vaccines,CT,99071,9102,31212,29283,13091,16383,42083,56988,40164,36148,8545,6686,7527,15739,29471,36110,17750,35964,19091,16712,27304,-,5084,26156,28423,9392,9051,-,20966,61278,37793,30417,68654,-,41511,57560,-,9837,-,10537,11580,1117,1698,768,10120,53415,48425,9919,4991,25061,16256,29652,12612,3459,517,24434,14868,-,-,-,93633,2719,30049,17598,768,12149,38507,47647,768,-,12149,38507,23578,15621,9217,12149,38507,39883,6385,2148,12149,38507,20241,70042,8789,-
Don’t trust the government,CT,106212,22438,38651,21931,7724,15469,77299,28913,31005,49007,5301,6686,14213,24357,23633,45569,12652,33387,16331,6577,49916,-,9637,9463,36051,20399,8192,6731,15739,53662,52549,19443,86768,-,64354,41858,-,2597,9772,8420,2762,11611,4738,768,11504,54039,54402,7230,3501,23881,1001,18414,12149,6654,4108,25210,12149,-,-,-,103493,2719,41801,9033,1384,12149,41845,46652,5566,-,12149,41845,46284,4164,1770,12149,41845,55439,1316,2148,12149,35159,23248,74175,8789,-
